,SVR RBF,,SVR Linear,,DTR,,RFR,,ABR,,GPR,,LIR,,RIR,
Dataset,Train ,Test,Train ,Test,Train ,Test,Train ,Test,Train ,Test,Train ,Test,Train ,Test,Train ,Test
Wine Quality,0.47,0.42,0.28,0.31,1,0.07,0.93,0.52,0.31,0.32,1,-1.1,0.28,0.32,0.28,0.32
Communities and Crime,0.66,0.66,0.68,0.66,1,0.41,0.95,0.65,0.59,0.54,1,0.39,0.69,0.66,0.68,0.68
QSAR Aquatic Toxicity,0.64,0.45,0.5,0.29,1,0.04,0.93,0.47,0.63,0.42,1,-567,0.52,0.31,0.52,0.31
Parkinson Speech,0.23,0.14,0.42,0.29,1,0.7,0.99,0.88,0.78,0.76,1,0.05,0.46,0.33,0.46,0.33
Facebook Metrics,-0.02,-0.04,0.87,0.81,1,0.98,0.95,0.99,0.99,0.96,1,-0.22,1,1,1,1
Bike Sharing,0.9,0.9,1,1,1,1,1,1,0.98,0.98,1,0.95,1,1,1,1
Student Performance,0.76,0.72,0.85,0.83,1,0.6,0.98,0.81,0.92,0.8,1,-15.8,0.86,0.83,0.86,0.83
Concrete Strength,0.64,0.64,0.59,0.62,1,0.82,0.98,0.89,0.82,0.8,1,-92.5,0.61,0.63,0.61,0.63
SGEMM GPU,0.48,0.48,0.23,0.23,1,1,1,1,0.43,0.42,0,0,0.4,0.4,0.4,0.4